Year,Month,Date,Tm,Pm,TmA,PmA,P
1960,5,1960/5/01,8.1,152.6,1.16,24.053,1
1960,6,1960/6/01,13.6,47.9,1.943,-27.853,0
1960,7,1960/7/01,14.9,7.9,-1.233,-16.543,0
1960,8,1960/8/01,14.3,10.3,-1.307,-19.25,0
1960,9,1960/9/01,11.6,89.5,-0.173,-2.16,0
1960,10,1960/10/01,2.7,491.5,-3.987,337.067,1
1960,11,1960/11/01,2.2,171.6,-0.063,-8.617,0
1960,12,1960/12/01,-3.6,111.7,-3.103,-41.94,0
1961,1,1961/1/01,-2.5,85.5,-1.645,-64.074,0
1961,2,1961/2/01,3.9,21.6,4.9,-114.64,0
1961,3,1961/3/01,6.2,35.8,5.397,-106.517,0
1961,4,1961/4/01,4.1,186.9,1.11,58.53,1
1961,5,1961/5/01,9.4,136.1,2.46,7.553,1
1961,6,1961/6/01,11.9,82.1,0.243,6.347,1
1961,7,1961/7/01,15.5,23.7,-0.633,-0.743,0
1961,8,1961/8/01,17.1,15.1,1.493,-14.45,0
1961,9,1961/9/01,13.4,227.7,1.627,136.04,1
1961,10,1961/10/01,5,153,-1.687,-1.433,0
1961,11,1961/11/01,0.6,390.1,-1.663,209.883,1
1961,12,1961/12/01,2.7,138.3,3.197,-15.34,0
1962,1,1962/1/01,-0.3,138.4,0.555,-11.174,0
1962,2,1962/2/01,-1,37.7,0,-98.54,0
1962,3,1962/3/01,-0.6,286.3,-1.403,143.983,1
1962,4,1962/4/01,2.8,267.8,-0.19,139.43,1
1962,5,1962/5/01,6.9,76.1,-0.04,-52.447,0
1962,6,1962/6/01,12.4,52.2,0.743,-23.553,0
1962,7,1962/7/01,16.2,0,0.067,-24.443,0
1962,8,1962/8/01,18.3,2.4,2.693,-27.15,0
1962,9,1962/9/01,13.8,84,2.027,-7.66,0
1962,10,1962/10/01,8.2,176.9,1.513,22.467,1
1962,11,1962/11/01,-1.4,108.8,-3.663,-71.417,0
1962,12,1962/12/01,-1.3,221.1,-0.803,67.46,1
1963,1,1963/1/01,-2.8,263.4,-1.945,113.826,1
1963,2,1963/2/01,-4.7,193.8,-3.7,57.56,1
1963,3,1963/3/01,-0.7,97.1,-1.503,-45.217,0
1963,4,1963/4/01,2.2,158.7,-0.79,30.33,1
1963,5,1963/5/01,7.2,28.3,0.26,-100.247,0
1963,6,1963/6/01,10.7,110.7,-0.957,34.947,1
1963,7,1963/7/01,15.6,31.3,-0.533,6.857,1
1963,8,1963/8/01,14.3,8,-1.307,-21.55,0
1963,9,1963/9/01,9.9,125.8,-1.873,34.14,1
1963,10,1963/10/01,9.6,65,2.913,-89.433,0
1963,11,1963/11/01,2,411.8,-0.263,231.583,1
1963,12,1963/12/01,-2.9,209.8,-2.403,56.16,1
1964,1,1964/1/01,-1,14.7,-0.145,-134.874,0
1964,2,1964/2/01,-0.1,216.5,0.9,80.26,1
1964,3,1964/3/01,-1.4,223.7,-2.203,81.383,1
1964,4,1964/4/01,2.7,93.6,-0.29,-34.77,0
1964,5,1964/5/01,11.4,80.5,4.46,-48.047,0
1964,6,1964/6/01,11.1,163.5,-0.557,87.747,1
1964,7,1964/7/01,16.2,10.5,0.067,-13.943,0
1964,8,1964/8/01,16.1,1.4,0.493,-28.15,0
1964,9,1964/9/01,15,87.7,3.227,-3.96,0
1964,10,1964/10/01,4.6,98.3,-2.087,-56.133,0
1964,11,1964/11/01,4.7,35.1,2.437,-145.117,0
1964,12,1964/12/01,-2.3,197.9,-1.803,44.26,1
1965,1,1965/1/01,-2.3,265.6,-1.445,116.026,1
1965,2,1965/2/01,-3.5,113.2,-2.5,-23.04,0
1965,3,1965/3/01,0.1,243.2,-0.703,100.883,1
1965,4,1965/4/01,2.2,18.9,-0.79,-109.47,0
1965,5,1965/5/01,9.6,50.2,2.66,-78.347,0
1965,6,1965/6/01,13.7,32.8,2.043,-42.953,0
1965,7,1965/7/01,14.6,17,-1.533,-7.443,0
1965,8,1965/8/01,15.8,27.4,0.193,-2.15,0
1965,9,1965/9/01,9,245.5,-2.773,153.84,1
1965,10,1965/10/01,6.5,298.6,-0.187,144.167,1
